section_id,article_id,article_title,section_path,heading,level,bert_umap1,bert_umap2,base_value_mean,base_value_std,base_n_runs,base_value_pctile,base_variance_pctile,instruct_value_mean,instruct_value_std,instruct_n_runs,instruct_value_pctile,instruct_variance_pctile
2076,7957,Number,Main classification > Integers,Integers,3,7.2437773,8.10569,8.492166028519756,13.277747180148497,2,0.20977443609022556,0.16691729323308271,34.928023077687776,6.389996896585599,3,0.5071428571428571,0.06127819548872181
2077,7957,Number,Main classification > Rational numbers,Rational numbers,3,7.1967735,8.158241,-11.324346312506265,1.4110365412118753,2,0.13458646616541353,0.022556390977443608,-7.065406229272052,14.134377967160555,3,0.08345864661654136,0.20338345864661656
2078,7957,Number,Main classification > Real numbers,Real numbers,3,7.145652,8.145292,-65.29310485070027,8.430593921984821,2,0.039097744360902256,0.10714285714285714,7.53146318695589,5.181390715669978,3,0.18082706766917292,0.04285714285714286
2079,7957,Number,Main classification > Real numbers > Repeating decimal,Repeating decimal,4,7.195245,8.154715,37.71980420661974,18.266345270676826,2,0.3977443609022556,0.23646616541353382,27.057667775604447,63.9507838650554,3,0.4120300751879699,0.8041353383458647
2080,7957,Number,Main classification > Real numbers > Irrational numbers,Irrational numbers,4,7.187447,8.050334,-40.493182802665565,45.78475672737373,2,0.06842105263157895,0.5402255639097744,36.49610057260025,20.688270907589427,3,0.5244360902255639,0.3323308270676692
2081,7957,Number,Main classification > Real numbers > Set theory,Set theory,4,7.1615787,8.225409,-0.4275567599476666,17.553696267531386,2,0.17593984962406015,0.22481203007518796,50.8724669650607,9.206681931249259,3,0.6631578947368421,0.10751879699248121
2082,7957,Number,Main classification > Complex numbers,Complex numbers,3,7.2116094,8.142082,13.008340939922471,15.042325691776558,2,0.23383458646616542,0.19285714285714287,14.743353884298324,21.897975570048867,3,0.2586466165413534,0.3530075187969925
2083,7957,Number,Subclasses of the integers > Even and odd numbers,Even and odd numbers,3,7.226777,8.08101,-24.238494334602485,81.3873987630181,2,0.09962406015037593,0.7804511278195488,22.59588921511944,39.810083994343806,3,0.35601503759398495,0.6097744360902255
2084,7957,Number,Subclasses of the integers > Prime numbers,Prime numbers,3,7.4263024,8.031119,94.27784640931195,78.87366431435194,2,0.731203007518797,0.7684210526315789,52.28495033631239,89.50425379328597,3,0.6755639097744361,0.8969924812030076
2085,7957,Number,Subclasses of the integers > Other classes of integers,Other classes of integers,3,7.351483,7.9603086,4.566053396495253,13.83674214167252,2,0.19285714285714287,0.1755639097744361,-108.60302505857409,10.596266105081392,3,0.0007518796992481203,0.13609022556390976
2086,7957,Number,"Subclasses of the complex numbers > Algebraic, irrational and transcendental numbers","Algebraic, irrational and transcendental numbers",3,7.236896,8.139094,-23.654903097017066,116.92285845129794,2,0.10150375939849623,0.8947368421052632,115.39494822013297,20.32666574376451,3,0.9255639097744361,0.32706766917293234
2087,7957,Number,Subclasses of the complex numbers > Periods and exponential periods,Periods and exponential periods,3,7.4837623,8.105735,198.29509696992693,119.74569451096178,2,0.95,0.9022556390977443,42.86527067098272,149.259595777637,3,0.5909774436090226,0.9823308270676692
2088,7957,Number,Subclasses of the complex numbers > Constructible numbers,Constructible numbers,3,7.23418,8.111595,520.3007406635356,331.18356165967094,2,0.9988721804511278,0.9988721804511278,115.74802934825603,338.75433917274376,3,0.9266917293233082,1.0
2089,7957,Number,Subclasses of the complex numbers > Computable numbers,Computable numbers,3,7.2310915,8.085323,31.282692331816214,20.011316738739517,2,0.35601503759398495,0.2578947368421053,49.4117622777269,11.68634376720876,3,0.6526315789473685,0.15526315789473685
2090,7957,Number,Extensions of the concept > p-adic numbers,p-adic numbers,3,7.1644716,8.19258,-3.664376610389837,106.56693887801019,2,0.16541353383458646,0.868796992481203,49.9534854458636,14.049749231119383,3,0.6575187969924812,0.2
2091,7957,Number,Extensions of the concept > Hypercomplex numbers,Hypercomplex numbers,3,7.379399,8.146999,-9.519119821780189,3.9189763226660745,2,0.14022556390977445,0.05789473684210526,14.597215246550645,13.712994744123003,3,0.2567669172932331,0.1951127819548872
2092,7957,Number,Extensions of the concept > Transfinite numbers,Transfinite numbers,3,7.342777,7.9703107,-12.378349804738713,46.95918943105526,2,0.13233082706766916,0.5477443609022556,89.46402820308076,16.57185643805906,3,0.8609022556390977,0.25451127819548874
2093,7957,Number,Extensions of the concept > Nonstandard numbers,Nonstandard numbers,3,7.166282,8.246195,20.049602180764367,46.83647440717698,2,0.2744360902255639,0.5458646616541354,34.492617969287046,8.352381104741502,3,0.5033834586466165,0.09323308270676692
2094,8044,Performing arts,Introduction,Introduction,0,11.093577,1.0130215,-11.20658301331298,128.57862738480767,2,0.13533834586466165,0.9161654135338346,-4.052133092837842,7.500367159421289,3,0.0981203007518797,0.0793233082706767
2095,8044,Performing arts,Performers,Performers,2,11.174781,0.9939896,168.9987263701407,167.05486076157683,2,0.9199248120300751,0.9635338345864661,130.06205782324204,17.588692559381712,3,0.9488721804511279,0.27481203007518795
2096,8044,Performing arts,Types,Types,2,11.089682,0.9005106,17.625719743789674,57.802879948678545,2,0.2593984962406015,0.6417293233082707,22.32996521412638,19.81486193769852,3,0.3537593984962406,0.3176691729323308
2097,8044,Performing arts,Types > Theatre,Theatre,3,11.022302,1.0183122,152.32360981785007,75.34261781695477,2,0.893609022556391,0.7492481203007518,65.81858126479537,133.44067918772967,3,0.762406015037594,0.9725563909774436
2098,8044,Performing arts,Types > Dance,Dance,3,11.195288,1.0956042,40.19119959696895,54.13002492468149,2,0.41578947368421054,0.6169172932330828,69.39662824343135,22.767240540218538,3,0.7853383458646617,0.36466165413533835
2099,8044,Performing arts,Types > Music,Music,3,11.690815,1.5981925,14.044904566817777,148.06309687009528,2,0.24097744360902257,0.943984962406015,90.07153491214869,28.025215792597926,3,0.8642857142857143,0.44473684210526315
2100,8044,Performing arts,History > Western performing arts,Western performing arts,3,10.670843,1.2130122,168.7413843723644,291.99336096194116,2,0.9195488721804511,0.9966165413533835,213.85913653562815,129.2218642420973,3,0.9913533834586467,0.968796992481203
2101,8044,Performing arts,History > Western performing arts > Middle Ages,Middle Ages,4,8.770502,0.8818848,211.63531970144484,232.53230161602116,2,0.956766917293233,0.9913533834586467,104.3211090408024,90.16067448285139,3,0.9022556390977443,0.8988721804511278
