article_id,article_title,section_count,bert_x,bert_y,base_value_mean,base_value_std,base_n_runs,base_value_pctile,base_variance_pctile,instruct_value_mean,instruct_value_std,instruct_n_runs,instruct_value_pctile,instruct_variance_pctile
9015,Deity,27,6.319257411111112,3.247497637037037,49.82471729563149,15.107490591905426,2,0.26,0.41,18.53137534717347,3.6998957843660416,3,0.12,0.06
9113,Ethics,27,7.934826418518519,3.7949303555555556,71.42541753052745,45.988823283388854,2,0.78,0.92,20.69072498398963,14.365154325486492,3,0.13,0.43
9148,Food,10,2.58074613,2.1599625199999997,54.30537423834963,29.58360917441517,2,0.38,0.71,7.859438621419353,30.948427090494384,3,0.03,0.9
9168,Geography,28,4.308533378571428,3.208183592857143,77.1426236705352,37.56124788390093,2,0.83,0.83,36.011253040982616,17.515033666948234,3,0.38,0.59
9169,Geology,27,3.1889712925925924,3.4182919851851854,45.57548016980391,13.407535841767563,2,0.2,0.36,50.93485448709165,9.601406276188248,3,0.72,0.24
9185,Government,18,8.311874,-1.7306074361111112,59.94253180960041,10.335251878062573,2,0.51,0.32,41.014008703739755,18.49148918430528,3,0.52,0.61
9248,Human history,31,7.555899364516129,0.8755600318064516,33.426335098226176,2.9590801381843295,2,0.08,0.11,12.979067330664655,2.4567835652779597,3,0.06,0.04
9419,Modern era,17,7.882206958823529,0.14421883541176472,36.87293942387326,10.197829705052166,2,0.11,0.3,29.035412486070893,7.367969598949201,3,0.21,0.19
9539,Philosophy,18,7.758449377777778,4.069650144444444,81.31798763128813,62.39055012720948,2,0.87,1.0,16.96603518566786,28.5583616374227,3,0.11,0.86
9636,Religion,48,6.815484847916667,3.0968854500000003,94.88909618861499,52.53669717428583,2,0.92,0.97,85.49274504510134,27.69048605778316,3,0.99,0.84
9697,Science,30,7.011776436666667,4.796904045000001,61.92599048921426,0.1158875898150756,2,0.56,0.01,49.15041619940266,11.132049090276327,3,0.67,0.34
9752,Society,24,8.685488016666667,-0.497272008,95.76123316221477,48.43515922647613,2,0.95,0.94,40.847305014554514,35.2392316651978,3,0.51,0.96
9861,The arts,23,10.853827717391304,0.6515447654782609,22.2684184998308,17.29289851375745,2,0.07,0.48,27.512616969107864,1.3789331724365115,3,0.2,0.01
9964,War,28,7.767875664285714,-0.33200153250000003,71.9183416101859,10.26840079145471,2,0.79,0.31,33.28540147116853,10.91534859354571,3,0.34,0.32
